Gene,Mean,Dispersion,Dispersion_norm
DICER1-AS1,0.046215464535080984,2.6840267084698626,1.0843602
MRPL40,0.8585691431687164,2.444456751114196,1.0842594
SPATA5,0.12268585157078445,2.6838644247544847,1.0834242
SEMA5A,0.014538150450974143,2.683842064017388,1.0832952
ZNF511,0.7559191350429699,2.4696203102646015,1.0829313
IRGQ,0.14050915581835588,2.683707561576999,1.0825194
LIMD2,2.206599389987345,1.6588477700999062,1.0824792
TLDC2,0.025597759358134912,2.683650682027135,1.0821913
RP13-188A5.1,0.1363205597154172,2.6836491651821706,1.0821826
BDP1,0.47131585081965305,2.5256321625545386,1.0820845
TNK2-AS1,0.023977916353793635,2.6836289271422977,1.0820658
TAPT1,0.08713968091381688,2.6836249146389854,1.0820427
TRAF4,0.21599039480736892,2.5927777543891417,1.0816674
RLTPR,0.15251752358947424,2.5927649582518066,1.0815161
RP5-1180E21.5,0.19535401729588361,2.592751626038848,1.0813586
ARID4A,0.8237514258770149,2.4695472236163827,1.0812409
SLC7A6OS,0.30813364794436854,2.5523115478421627,1.0808915
DFNB31,0.07117683145744114,2.683377520921347,1.0806158
TAGAP,1.1736133734535477,2.375520799038725,1.0805126
SIKE1,0.4221924804707262,2.525482355516849,1.079284
LYL1,0.8353078242807842,2.4442307387591367,1.0787987
LINC00623,0.0237915686265667,2.6830058084844257,1.0784718
CUZD1,0.02589547061103205,2.682976176241513,1.0783008
TMEM241,0.04134497727044337,2.682678306419931,1.0765827
UBC,2.4702189364664435,1.0928812504126488,1.0759995
TRMT2A,0.4140500218563982,2.5519883427015886,1.0758255
GBF1,0.23359457098126307,2.59223147732558,1.0752107
TPST1,0.07928605446896643,2.682194030597387,1.0737894
RP11-291B21.2,0.3783744580232281,2.5518471924709116,1.073613
RP11-326C3.2,0.019381304835785606,2.6821626968571337,1.0736086
PCAT1,0.05403382163832317,2.6821609159747815,1.0735984
HIST1H2BH,0.0164854817548409,2.681867023582198,1.0719032
SNX16,0.09561542655087331,2.6818255917292473,1.0716642
HTATIP2,0.8893153783853321,2.443924360798931,1.0713962
GS1-393G12.14,0.015287341391708054,2.681700943438402,1.0709453
APPL1,0.5152288255160368,2.5250224205064553,1.0706855
CCNF,0.020668114560624406,2.6815407245825917,1.0700212
MYO7B,0.09131731840776747,2.6813913787125863,1.0691597
ARHGEF18,0.311051581944161,2.5515490898590225,1.0689405
HYOU1,0.2546876871262387,2.5916417775085714,1.0682406
REV1,0.3727058548919141,2.5514372626555666,1.0671878
ZNF720,0.3237011166270984,2.551413258008368,1.0668114
VDR,0.05326548970304667,2.6809425990682754,1.0665711
ZNF208,0.015640808815571592,2.680851697320963,1.0660468
CCND3,1.782467951328502,2.090064976872396,1.0658691
DPF2,0.4732330735564805,2.524711602354765,1.0648749
TBC1D22A,0.4599061492634137,2.5246780871161247,1.0642483
NFX1,0.36090703276824143,2.551247384189932,1.0642116
CYTH3,0.02345288072437738,2.6803682837380562,1.0632585
NECAP1,0.45111098099871794,2.5245800861262513,1.0624162
TRMT6,0.31034370293256436,2.5510866534219367,1.0616922
NAP1L1,2.0886329963940438,1.8635047563901435,1.0612487
RPL7,2.654075383615316,0.5121460586085432,1.0610539
GPSM3,2.21254653154268,1.6570805751396176,1.0599648
ZNF337,0.09533416966100569,2.6797618537161716,1.0597607
ZNF81,0.0654375110673532,2.6796688157018758,1.059224
GEMIN2,0.21346522219612896,2.590874112534852,1.0591673
UIMC1,0.4043222291544752,2.5509237370771314,1.0591387
PRKCE,0.08383142865945434,2.679539318612871,1.058477
HIST1H2AL,0.024101910375742042,2.679494706419807,1.0582198
SLC16A13,0.04130710765640761,2.6793814906763336,1.0575668
ALG10,0.07395143984901434,2.6793334183140987,1.0572895
VGLL4,0.30893025151280534,2.550778790813378,1.0568668
RDX,0.28875475338642864,2.5507576741986906,1.0565357
BAG3,0.12369065978620121,2.6791091056334295,1.0559956
ZEB2,0.6495268822240329,2.499843940722821,1.0557716
PHF20L1,0.5950414063731152,2.4998149767839846,1.0551775
BGLAP,0.030771407666355315,2.6789153055734016,1.0548778
RP11-298J20.3,0.04455677745032189,2.678868467400963,1.0546076
RBM6,0.5769952547019883,2.4997789231361036,1.0544379
AL136376.1,0.019149991476944534,2.6788043179931345,1.0542376
LRRK2,0.15971083723621884,2.5903648456147774,1.0531479
PYGB,0.20007302953447034,2.590296231761858,1.0523369
NCF4,0.5470048231142438,2.5240178167340095,1.0519047
FBXO44,0.31408015902608805,2.5504561395938365,1.0518094
SCGB3A1,0.4923764713555441,2.523993920915888,1.051458
ASF1B,0.0784474634606634,2.6780962339820658,1.0501534
DGKA,0.591316424855814,2.499569249537637,1.0501367
RP11-176H8.1,0.045132327488716026,2.6780724284045547,1.050016
PPIE,0.8781758315390282,2.443033424743445,1.0498703
RP5-1159O4.1,0.0355800657126631,2.6779908133377717,1.0495453
GNG3,0.04424335030050341,2.677984161969064,1.0495069
TARDBP,0.5712922166754536,2.499531258210043,1.0493574
SIT1,1.0055594674319015,2.4074891094770905,1.0490347
RNF8,0.34997644202602607,2.5502424979159697,1.0484607
RPS17,0.2514077634230023,2.589940667624803,1.0481343
UNC45B,0.019364414158820044,2.677639798334709,1.0475206
KLHL14,0.028112664259604892,2.6776177704193374,1.0473936
CCDC23,0.8721904763137547,2.4428895096444285,1.046393
PARP1,0.8590014264616515,2.442885007840026,1.0462843
MEN1,0.18850053076526724,2.58969158037916,1.0451903
GUCY1A3,0.028854338599676222,2.677116701766989,1.0445035
TTI1,0.14630435308752104,2.589631921226524,1.0444851
NFE2L2,0.5769108949958694,2.499248946344673,1.0435661
RP11-219B4.7,0.030244999235741393,2.6768078356105747,1.0427219
HS1BP3,0.2500847263576946,2.5894763581155185,1.0426464
KHNYN,0.33301935757339296,2.549845480716522,1.0422379
CD81,0.49505358314040127,2.5234453054379284,1.0412017
MOSPD3,0.4153420927302916,2.5497549077046284,1.0408182
NUB1,0.7546680579454302,2.467793591658313,1.0406818
EIF2B4,0.305735045035812,2.549707043884585,1.040068
