h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
3.302989e-02	3.265933e-02	3.145857e-01	2.857958e-01	9.106094e-04	12	
6.013464e-02	4.856036e-02	4.709378e-01	3.353016e-01	9.031237e-04	9	
5.979902e-02	3.661048e-02	7.700362e-01	6.323106e-01	8.810801e-04	8	
1.143225e-01	8.164212e-02	6.588647e-01	5.113114e-01	9.143131e-04	9	
1.071320e-01	4.806508e-02	6.989245e-01	3.232277e-01	9.329732e-04	8	
7.952109e-02	1.558243e-02	9.910760e-01	9.492971e-01	9.335591e-04	7	
6.209675e-02	3.591964e-02	8.608303e-01	7.700326e-01	9.737457e-04	9	
5.168236e-02	1.294544e-02	9.998121e-01	9.992966e-01	9.688662e-04	11	
2.467779e-02	1.137007e-02	8.093898e-01	5.333766e-01	1.073636e-03	10	
2.467779e-02	1.137007e-02	8.093898e-01	5.333766e-01	1.073636e-03	10	
4.906982e-03	3.177060e-03	8.585421e-01	7.679319e-01	1.095396e-03	9	
6.722492e-02	4.321437e-02	6.590317e-01	4.219623e-01	1.061263e-03	10	
1.918441e-02	2.199863e-02	9.703692e-01	9.723683e-01	1.079443e-03	13	
1.918441e-02	2.199863e-02	9.703692e-01	9.723683e-01	1.079443e-03	13	
1.651694e-03	1.651459e-03	9.176849e-01	9.273942e-01	1.122782e-03	14	
1.651694e-03	1.651459e-03	9.176849e-01	9.273942e-01	1.122782e-03	14	
6.112623e-02	2.460051e-02	9.723944e-01	9.241862e-01	1.153656e-03	15	
6.551040e-03	2.924110e-03	8.979856e-01	7.841593e-01	1.257548e-03	14	
2.208745e-02	1.967504e-02	9.383175e-01	9.305633e-01	1.199131e-03	14	
7.755252e-02	6.955870e-02	3.455212e-01	1.432574e-01	1.110033e-03	16	
1.961521e-01	1.813370e-01	7.382688e-02	6.638759e-02	1.102153e-03	16	
2.707090e-03	3.273985e-03	3.334851e-01	4.955644e-01	1.085530e-03	18	
1.272698e-02	1.324902e-02	8.194164e-02	7.794853e-02	1.162713e-03	18	
1.440532e-02	1.346128e-02	3.160896e-01	1.322210e-01	1.112532e-03	18	
1.843279e-02	1.869300e-02	3.650542e-01	4.227298e-01	1.150184e-03	19	
5.817058e-02	4.710239e-02	6.390869e-01	5.617402e-01	1.109785e-03	19	
1.654254e-02	1.363998e-02	4.376461e-01	3.860243e-01	1.110589e-03	19	
2.178887e-02	1.617060e-02	6.252952e-01	5.747376e-01	1.083370e-03	20	
2.609315e-02	2.877579e-02	5.188578e-01	4.814919e-01	1.056115e-03	19	
2.609315e-02	2.877579e-02	5.188578e-01	4.814919e-01	1.056115e-03	19	
7.746496e-03	8.200307e-03	3.129787e-01	4.440744e-01	1.098238e-03	20	
1.407855e-03	1.466572e-03	3.772740e-01	4.502617e-01	1.140944e-03	21	
4.425004e-02	4.081309e-02	4.250690e-01	3.589258e-01	1.196606e-03	20	
6.308864e-02	5.617595e-02	5.257344e-01	4.250521e-01	1.245140e-03	21	
2.172992e-02	2.898541e-02	9.021028e-01	9.249675e-01	1.302963e-03	19	
4.867027e-02	4.641911e-02	2.581724e-01	1.790149e-01	1.435607e-03	18	
4.867027e-02	4.641911e-02	2.581724e-01	1.790149e-01	1.435607e-03	18	
1.370223e-02	1.484010e-02	5.088502e-02	3.217982e-02	1.375452e-03	19	
5.648258e-02	4.495147e-02	3.167775e-01	1.970906e-01	1.423671e-03	21	
1.819840e-01	1.622675e-01	3.987131e-01	3.880886e-01	1.388379e-03	25	
1.508220e-01	1.444066e-01	5.453385e-01	5.030606e-01	1.874097e-03	26	
2.081359e-02	2.117715e-02	9.373654e-01	9.419018e-01	1.841609e-03	25	
9.347662e-03	8.517042e-03	6.622399e-01	6.323464e-01	1.961344e-03	25	
6.152477e-02	6.638238e-02	8.060197e-01	8.118392e-01	1.942458e-03	26	
1.212530e-01	1.092243e-01	6.455578e-01	6.664016e-01	1.889844e-03	27	
1.811267e-02	1.521857e-02	7.013380e-01	6.280204e-01	1.961173e-03	28	
1.500064e-01	8.964576e-02	9.438189e-01	9.193259e-01	1.899836e-03	27	
5.910634e-02	4.433003e-02	9.083612e-01	8.930302e-01	1.914451e-03	26	
3.972308e-02	3.689027e-02	8.193892e-01	7.789313e-01	1.835160e-03	27	
1.027391e-01	7.463043e-02	7.831811e-01	6.884900e-01	1.842192e-03	28	
2.214670e-02	1.618333e-02	9.207499e-01	8.759639e-01	2.065715e-03	25	
2.916707e-02	2.454185e-02	9.948827e-01	9.938730e-01	1.928515e-03	27	
1.032275e-01	1.219907e-01	5.225996e-01	6.365655e-01	1.987602e-03	30	
4.144163e-02	4.462387e-02	4.028104e-01	4.519180e-01	2.058137e-03	32	
6.332538e-02	5.872462e-02	3.839564e-01	3.302040e-01	2.107496e-03	33	
9.656472e-02	1.033396e-01	1.549689e-01	1.842868e-01	2.135951e-03	33	
9.373326e-02	9.327765e-02	1.982248e-01	2.504536e-01	1.995272e-03	35	
9.260626e-02	9.563368e-02	1.979042e-01	1.698506e-01	1.992698e-03	33	
4.157538e-02	3.950982e-02	7.394580e-02	5.846213e-02	1.830772e-03	31	
1.322502e-01	1.198892e-01	1.152340e-01	1.732976e-01	1.744634e-03	30	
1.254564e-03	1.173064e-03	2.076625e-01	1.390197e-01	2.019624e-03	28	
6.673165e-02	5.776366e-02	2.432155e-01	2.793854e-01	2.164874e-03	29	
8.734315e-03	9.161420e-03	7.414288e-02	5.495663e-02	2.268066e-03	28	
2.338624e-02	2.481813e-02	1.006781e-01	7.590318e-02	2.250413e-03	28	
2.621909e-02	2.453610e-02	2.373107e-01	2.428457e-01	2.298091e-03	29	
8.235750e-03	8.212619e-03	1.844739e-01	2.336310e-01	2.263271e-03	30	
2.708660e-02	2.528922e-02	3.027313e-01	2.046576e-01	2.354749e-03	31	
4.212662e-02	3.354543e-02	2.707234e-01	1.603013e-01	2.334074e-03	29	
4.212662e-02	3.354543e-02	2.707234e-01	1.603013e-01	2.334074e-03	29	
2.187197e-02	2.212618e-02	1.601923e-01	1.084979e-01	2.271021e-03	28	
1.179282e-03	1.046799e-03	2.213546e-01	1.762634e-01	2.304949e-03	29	
1.416894e-02	1.339543e-02	2.511905e-01	1.866698e-01	2.274725e-03	28	
3.247746e-02	2.591637e-02	5.039650e-01	2.958007e-01	2.071887e-03	26	
1.229090e-02	1.092966e-02	6.567583e-01	6.378500e-01	2.224566e-03	28	
2.332842e-02	1.694132e-02	8.136423e-01	7.147189e-01	2.222647e-03	27	
2.332842e-02	1.694132e-02	8.136423e-01	7.147189e-01	2.222647e-03	27	
1.984564e-02	1.469330e-02	8.335103e-01	7.894607e-01	2.151318e-03	28	
1.185337e-02	9.452378e-03	7.924901e-01	7.765764e-01	2.140840e-03	28	
2.737349e-02	2.905310e-02	7.016601e-01	7.103736e-01	2.186827e-03	27	
5.544603e-02	4.255711e-02	7.056773e-01	5.996474e-01	2.048866e-03	27	
1.653947e-02	1.443443e-02	8.166306e-01	7.803705e-01	2.070074e-03	28	
5.280518e-02	5.745863e-02	5.615685e-01	5.711058e-01	2.082371e-03	29	
3.652944e-02	3.568228e-02	5.227583e-01	5.400985e-01	2.136397e-03	27	
4.427089e-02	3.926341e-02	6.172357e-01	6.072135e-01	1.918092e-03	27	
3.513552e-02	4.440803e-02	5.860031e-01	7.133697e-01	1.850401e-03	28	
1.035118e-01	7.776800e-02	6.224570e-01	5.409445e-01	1.707248e-03	28	
2.505071e-02	2.414329e-02	6.624004e-01	6.762287e-01	1.641783e-03	29	
5.066467e-02	7.547735e-02	6.949294e-01	8.031300e-01	1.631056e-03	30	
4.565796e-02	4.999488e-02	4.874676e-01	4.466115e-01	1.672512e-03	29	
4.157928e-03	4.864445e-03	3.913181e-01	4.334937e-01	1.842140e-03	28	
2.620332e-02	2.612926e-02	2.467682e-01	2.895878e-01	1.830986e-03	27	
6.157811e-03	4.937023e-03	3.273231e-01	2.378166e-01	1.820796e-03	27	
2.045392e-02	2.382926e-02	4.813344e-02	5.874602e-02	1.944347e-03	30	
4.359791e-02	5.120082e-02	2.158967e-01	3.200715e-01	1.950677e-03	30	
6.425405e-02	6.418941e-02	4.887067e-01	4.846948e-01	1.997093e-03	30	
6.977323e-02	5.848751e-02	8.297965e-01	7.652836e-01	2.036719e-03	29	
2.146946e-02	1.990816e-02	5.307709e-01	4.302747e-01	1.920610e-03	31	
2.146946e-02	1.990816e-02	5.307709e-01	4.302747e-01	1.920610e-03	31	
1.071247e-01	1.166132e-01	7.823347e-01	7.994597e-01	1.851657e-03	30	
6.057696e-02	4.523762e-02	6.999701e-01	6.085188e-01	1.907642e-03	30	
2.880125e-02	2.306837e-02	9.843318e-01	9.806134e-01	1.926139e-03	31	
3.214611e-03	3.410796e-03	7.554063e-01	7.711160e-01	1.877565e-03	30	
5.249349e-02	5.498728e-02	9.856795e-01	9.866294e-01	1.657357e-03	29	
1.690177e-02	2.154263e-02	8.128894e-01	8.479669e-01	1.654695e-03	30	
1.690177e-02	2.154263e-02	8.128894e-01	8.479669e-01	1.654695e-03	30	
3.796066e-02	3.104625e-02	6.233583e-01	4.913550e-01	1.588651e-03	31	
5.548562e-02	5.795581e-02	7.943562e-01	8.123416e-01	1.642409e-03	32	
4.746105e-02	4.873719e-02	8.039426e-01	7.898491e-01	1.669783e-03	32	
1.807333e-02	1.962716e-02	8.336224e-01	8.405662e-01	1.670703e-03	31	
1.807333e-02	1.962716e-02	8.336224e-01	8.405662e-01	1.670703e-03	31	
2.772242e-02	2.507127e-02	9.244592e-01	9.155303e-01	1.698076e-03	30	
5.335395e-02	5.255047e-02	8.952617e-02	5.724309e-02	1.981670e-03	28	
1.002830e-02	9.687132e-03	2.468094e-01	1.232282e-01	2.102477e-03	28	
6.356787e-02	4.523511e-02	4.405940e-01	2.309287e-01	2.168976e-03	29	
1.053331e-01	9.773502e-02	3.660489e-01	3.604886e-01	2.137357e-03	30	
1.235344e-02	1.071116e-02	8.196877e-01	7.698643e-01	2.206355e-03	32	
5.039084e-02	4.071402e-02	7.988535e-01	7.513069e-01	2.090349e-03	31	
2.072103e-02	9.630899e-03	9.994368e-01	9.984513e-01	2.041203e-03	30	
2.072103e-02	9.630899e-03	9.994368e-01	9.984513e-01	2.041203e-03	30	
2.072103e-02	9.630899e-03	9.994368e-01	9.984513e-01	2.041203e-03	30	
2.072103e-02	9.630899e-03	9.994368e-01	9.984513e-01	2.041203e-03	30	
1.880162e-02	1.703007e-02	9.718724e-01	9.672027e-01	2.020375e-03	31	
6.600868e-03	5.468271e-03	9.321226e-01	9.040533e-01	1.988313e-03	32	
5.151247e-02	4.353327e-02	9.719351e-01	9.681762e-01	1.940266e-03	33	
1.972434e-02	2.448803e-02	7.983665e-01	8.425658e-01	1.883032e-03	35	
1.467440e-02	1.508991e-02	7.194035e-01	7.245366e-01	1.855404e-03	35	
1.467440e-02	1.508991e-02	7.194035e-01	7.245366e-01	1.855404e-03	35	
1.467440e-02	1.508991e-02	7.194035e-01	7.245366e-01	1.855404e-03	35	
1.467440e-02	1.508991e-02	7.194035e-01	7.245366e-01	1.855404e-03	35	
1.467440e-02	1.508991e-02	7.194035e-01	7.245366e-01	1.855404e-03	35	
3.002685e-02	2.470316e-02	8.594120e-01	8.306355e-01	1.867923e-03	36	
4.305656e-04	6.665907e-04	9.436386e-01	9.617125e-01	1.847798e-03	35	
4.305656e-04	6.665907e-04	9.436386e-01	9.617125e-01	1.847798e-03	35	
4.305656e-04	6.665907e-04	9.436386e-01	9.617125e-01	1.847798e-03	35	
1.792405e-02	2.052527e-02	7.728357e-01	8.360424e-01	1.806009e-03	34	
